390,Celular Smartphone Philco Hit P8 32gb 3gb Ram Dark Blue 6'',559.0,"",null,"","","","","","","",""
391,Samsung Galaxy S22+ (Snapdragon) Dual SIM 128 GB white 8 GB RAM,4.699,"",124,10,"",sem juros,Samsung Galaxy S22+ (Snapdragon),Samsung Galaxy S22+ (Snapdragon) Dual SIM 128 GB white,128,white,8 GB RAM
392,Samsung Galaxy A04e Dual SIM 64 GB black 3 GB RAM,790.0,1.550,6,"","","",Samsung Galaxy A04e,Samsung Galaxy A04e Dual SIM 64 GB black,64,black,3 GB RAM
393,Motorola Edge 20 Lite Dual SIM 128 GB grafite 6 GB RAM,2.624,"",198,"","","",Motorola Edge 20 Lite,Motorola Edge 20 Lite Dual SIM 128 GB grafite,128,grafite,6 GB RAM
394,CAT S52 Dual SIM 64 GB preto 4 GB RAM,2.985,"",36,"","","",CAT S52,CAT S52 Dual SIM 64 GB preto,64,preto,4 GB RAM
395,Celular Smartphone Tcl 201 5'' 32gb 1gb Dual Quad Core Preto,359.0,"",null,"","","",Celular Smartphone Tcl 201 5'' 32gb 1gb,"","","",""
396,Smartphone Motorola Moto E32 Dual Sim 6.5 64gb 4gb Ram Rose,899.0,1.665,null,10,"89,90",sem juros,Smartphone Motorola Moto E32,"","","",""
397,LG K52 (13 Mpx) Dual SIM 64 GB green 3 GB RAM,987.0,"",2301,"","","",LG K52 (13 Mpx),LG K52 (13 Mpx) Dual SIM 64 GB green,64,green,3 GB RAM
398,Samsung Galaxy A23 128gb 4gb Ram Branco,1.249,"",917,10,"124,90",sem juros,"","","","",""
399,LG K41S 32 GB preto 3 GB RAM,889.0,"",22,10,"88,90",sem juros,"",LG K41S 32 GB preto,32,preto,3 GB RAM
400,"Smartphone Motorola Moto G32 128gb 4gb Ram 6,5 - Vermelho",1.099,1.368,null,10,"109,90",sem juros,"","","","",""
401,Samsung Galaxy A03 Core Dual SIM 32 GB black 2 GB RAM,679.0,1.099,4614,10,"67,90",sem juros,Samsung Galaxy A03 Core,Samsung Galaxy A03 Core Dual SIM 32 GB black,32,black,2 GB RAM
402,"Smartphone Motorola Moto G32 128gb 4gb Ram 6,5 - Rose",1.099,1.368,null,10,"109,90",sem juros,"","","","",""
403,Moto G82 5G Dual SIM 128 GB branco 6 GB RAM,1.899,2.999,234,10,"189,90",sem juros,Moto G82 5G,Moto G82 5G Dual SIM 128 GB branco,128,branco,6 GB RAM
404,Samsung Galaxy A03s Dual SIM 64 GB preto 4 GB RAM,809.0,"988,09",4247,"","","",Samsung Galaxy A03s,Samsung Galaxy A03s Dual SIM 64 GB preto,64,preto,4 GB RAM
405,"Smartphone Galaxy A03 Core 32gb 2gb Tela 6,5   Preto Samsung",679.0,1.099,null,10,"67,90",sem juros,"","","","",""
406,"Smartphone Motorola Moto G32 128gb 4gb Ram 6,5 - Preto",1.099,1.368,null,10,"109,90",sem juros,"","","","",""
407,Moto G22 128 GB cosmic black 4 GB RAM,1.095,1.339,399,10,"109,50",sem juros,"",Moto G22 128 GB cosmic black,128,cosmic black,4 GB RAM
408,"Smartphone Edge 30 Tela 6,5'' 256gb 8gb Ram Grafite Motorola",2.733,3.999,null,10,"273,32",sem juros,"","","","",""
409,Soyes Xs13 Mini Smartphone 3g Android 6.0 Dual Sim,256.0,"",null,8,"32,03",sem juros,Soyes Xs13 Mini Smartphone 3g Android 6.0,"","","",""
410,Smartphone Galaxy S21 Fe 6.4'' 5g 128gb 6gb Preto Samsung,2.573,4.499,null,9,"285,89",sem juros,"","","","",""
411,Xiaomi Pocophone Poco M3 Pro 5G Dual SIM 64 GB power black 4 GB RAM,1.33,"",1542,"","","",Xiaomi Pocophone Poco M3 Pro 5G,Xiaomi Pocophone Poco M3 Pro 5G Dual SIM 64 GB power black,64,power black,4 GB RAM
412,Smartphone Samsung Galaxy A03s Tela 6.5 64 Gb 4 Gb Ram Azul,857.0,1.499,null,10,"85,70",sem juros,"","","","",""
413,Samsung Galaxy A13 Dual SIM 128 GB branco 4 GB RAM,1.099,1.599,2830,10,"109,90",sem juros,Samsung Galaxy A13,Samsung Galaxy A13 Dual SIM 128 GB branco,128,branco,4 GB RAM
414,Realme 9i Dual SIM 128 GB prism black 6 GB RAM,1.279,"",36,"","","",Realme 9i,Realme 9i Dual SIM 128 GB prism black,128,prism black,6 GB RAM
415,Samsung Galaxy S20 FE 5G Dual SIM 128 GB cloud lavender 6 GB RAM,2.399,3.999,1481,10,"239,90",sem juros,Samsung Galaxy S20 FE 5G,Samsung Galaxy S20 FE 5G Dual SIM 128 GB cloud lavender,128,cloud lavender,6 GB RAM
416,Samsung Galaxy M13 Dual SIM 128 GB cobre 4 GB RAM,1.3,"",1709,"","","",Samsung Galaxy M13,Samsung Galaxy M13 Dual SIM 128 GB cobre,128,cobre,4 GB RAM
417,Smartphone Note 11 - 128gb 4gb Ram Versão Global Nota Fiscal,1.247,"",null,"","","","","","","",""
418,Moto G52 Dual SIM 128 GB charcoal grey 4 GB RAM,1.219,1.465,1792,"","","",Moto G52,Moto G52 Dual SIM 128 GB charcoal grey,128,charcoal grey,4 GB RAM
419,Philco Hit P8 Dual SIM 32 GB dark blue 3 GB RAM,559.0,"",1130,"","","",Philco Hit P8,Philco Hit P8 Dual SIM 32 GB dark blue,32,dark blue,3 GB RAM
420,LG K61 Dual SIM 128 GB titânio 4 GB RAM,1.07,"",1122,"","","",LG K61,LG K61 Dual SIM 128 GB titânio,128,titânio,4 GB RAM
421,"Smartphone Galaxy A03 Core 32gb 2gb Tela 6,5  Verde Samsung",719.0,1.099,null,10,"71,92",sem juros,"","","","",""
422,Smartphone Motorola Moto E22 64gb Azul,1.084,1.299,null,10,"108,43",sem juros,"","","","",""
423,Smartphone Galaxy A23 5g 128gb 4gb Azul Samsung,1.799,2.299,null,9,"199,89",sem juros,"","","","",""
424,Xiaomi Pocophone Poco M4 Pro Dual SIM 128 GB cool blue 6 GB RAM,1.482,"",789,"","","",Xiaomi Pocophone Poco M4 Pro,Xiaomi Pocophone Poco M4 Pro Dual SIM 128 GB cool blue,128,cool blue,6 GB RAM
425,Smartphone Galaxy A13 6.6'' 128gb 4gb Ram Azul Samsung,1.099,1.599,null,10,"109,90",sem juros,"","","","",""
426,Positivo P26 Dual SIM 32 MB preto 32 MB RAM,87.0,"",750,"","","",Positivo P26,"","","",""
427,Moto E32 Dual SIM 64 GB rosa 4 GB RAM,839.0,1.045,1559,"","","",Moto E32,Moto E32 Dual SIM 64 GB rosa,64,rosa,4 GB RAM
428,Smartphone Realme 9 Snapdragon 680 Branco 108mp 128gb 8gb,1.559,"",null,"","","","","","","",""
429,Samsung Galaxy Note20 5G Dual SIM 256 GB cinza-místico 8 GB RAM,3.199,"",275,10,"319,90",sem juros,Samsung Galaxy Note20 5G,Samsung Galaxy Note20 5G Dual SIM 256 GB cinza-místico,256,cinza-místico,8 GB RAM
430,Xiaomi Redmi Note 11 (Snapdragon) Dual SIM 128 GB graphite gray 6 GB RAM,1.349,"",3146,"","","",Xiaomi Redmi Note 11 (Snapdragon),Xiaomi Redmi Note 11 (Snapdragon) Dual SIM 128 GB graphite gray,128,graphite gray,6 GB RAM
431,Smartphone Motorola Moto G42 128gb 4gb Ram Rosê,1.999,"",null,10,"199,90",sem juros,"","","","",""
432,Smartphone Note 11 -128gb 4gb Ram Azul Claro +fone De Brinde,1.499,"",null,10,"149,90",sem juros,"","","","",""
433,Celular Nokia 105 Dual Chip + Rádio Fm + Lanterna - Nk093,149.0,"",null,4,"37,25",sem juros,Celular Nokia 105,"","","",""
434,Smartphone Galaxy A13 6.6'' 128gb 4gb Ram Branco Samsung,1.099,1.599,null,10,"109,90",sem juros,"","","","",""
435,Smartphone Samsung Galaxy A03s Dual 6.5 64gb 4gb Ram Preto,899.0,1.427,null,10,"89,90",sem juros,Smartphone Samsung Galaxy A03s,"","","",""
436,"Smartphone Motorola Moto G32 128gb 4gb Ram 6,5 - Preto",1.039,1.301,null,"","","","","","","",""
437,Moto G22 Dual SIM 128 GB cosmic black 4 GB RAM,1.02,"",2876,"","","",Moto G22,Moto G22 Dual SIM 128 GB cosmic black,128,cosmic black,4 GB RAM
438,Philco Hit PCS01 Dual SIM 64 GB preto 4 GB RAM,1.1,"",118,10,"",sem juros,Philco Hit PCS01,Philco Hit PCS01 Dual SIM 64 GB preto,64,preto,4 GB RAM
439,Xiaomi Mi 9T Dual SIM 64 GB preto-carvão 6 GB RAM,2.929,"",2987,10,"292,90",sem juros,Xiaomi Mi 9T,Xiaomi Mi 9T Dual SIM 64 GB preto-carvão,64,preto-carvão,6 GB RAM
440,Celular Smartphone Philco Hit P8 32gb 3gb Ram Dark Blue 6'',559.0,"",null,"","","","","","","",""
441,Samsung Galaxy S22+ (Snapdragon) Dual SIM 128 GB white 8 GB RAM,4.699,"",124,10,"",sem juros,Samsung Galaxy S22+ (Snapdragon),Samsung Galaxy S22+ (Snapdragon) Dual SIM 128 GB white,128,white,8 GB RAM
442,Samsung Galaxy A04e Dual SIM 64 GB black 3 GB RAM,790.0,1.550,6,"","","",Samsung Galaxy A04e,Samsung Galaxy A04e Dual SIM 64 GB black,64,black,3 GB RAM
443,Motorola Edge 20 Lite Dual SIM 128 GB grafite 6 GB RAM,2.624,"",198,"","","",Motorola Edge 20 Lite,Motorola Edge 20 Lite Dual SIM 128 GB grafite,128,grafite,6 GB RAM
444,CAT S52 Dual SIM 64 GB preto 4 GB RAM,2.985,"",36,"","","",CAT S52,CAT S52 Dual SIM 64 GB preto,64,preto,4 GB RAM
445,Celular Smartphone Tcl 201 5'' 32gb 1gb Dual Quad Core Preto,359.0,"",null,"","","",Celular Smartphone Tcl 201 5'' 32gb 1gb,"","","",""
446,Smartphone Motorola Moto E32 Dual Sim 6.5 64gb 4gb Ram Rose,899.0,1.665,null,10,"89,90",sem juros,Smartphone Motorola Moto E32,"","","",""
447,LG K52 (13 Mpx) Dual SIM 64 GB green 3 GB RAM,987.0,"",2301,"","","",LG K52 (13 Mpx),LG K52 (13 Mpx) Dual SIM 64 GB green,64,green,3 GB RAM
448,Samsung Galaxy A23 128gb 4gb Ram Branco,1.249,"",917,10,"124,90",sem juros,"","","","",""
449,LG K41S 32 GB preto 3 GB RAM,889.0,"",22,10,"88,90",sem juros,"",LG K41S 32 GB preto,32,preto,3 GB RAM
450,"Smartphone Motorola Moto G32 128gb 4gb Ram 6,5 - Vermelho",1.099,1.368,null,10,"109,90",sem juros,"","","","",""
451,Samsung Galaxy A03 Core Dual SIM 32 GB black 2 GB RAM,679.0,1.099,4614,10,"67,90",sem juros,Samsung Galaxy A03 Core,Samsung Galaxy A03 Core Dual SIM 32 GB black,32,black,2 GB RAM
452,"Smartphone Motorola Moto G32 128gb 4gb Ram 6,5 - Rose",1.099,1.368,null,10,"109,90",sem juros,"","","","",""
453,Moto G82 5G Dual SIM 128 GB branco 6 GB RAM,1.899,2.999,234,10,"189,90",sem juros,Moto G82 5G,Moto G82 5G Dual SIM 128 GB branco,128,branco,6 GB RAM
454,Samsung Galaxy A03s Dual SIM 64 GB preto 4 GB RAM,809.0,"988,09",4247,"","","",Samsung Galaxy A03s,Samsung Galaxy A03s Dual SIM 64 GB preto,64,preto,4 GB RAM
455,"Smartphone Galaxy A03 Core 32gb 2gb Tela 6,5   Preto Samsung",679.0,1.099,null,10,"67,90",sem juros,"","","","",""
456,"Smartphone Motorola Moto G32 128gb 4gb Ram 6,5 - Preto",1.099,1.368,null,10,"109,90",sem juros,"","","","",""
457,Moto G22 128 GB cosmic black 4 GB RAM,1.095,1.339,399,10,"109,50",sem juros,"",Moto G22 128 GB cosmic black,128,cosmic black,4 GB RAM
458,"Smartphone Edge 30 Tela 6,5'' 256gb 8gb Ram Grafite Motorola",2.733,3.999,null,10,"273,32",sem juros,"","","","",""
459,Soyes Xs13 Mini Smartphone 3g Android 6.0 Dual Sim,256.0,"",null,8,"32,03",sem juros,Soyes Xs13 Mini Smartphone 3g Android 6.0,"","","",""
460,Smartphone Galaxy S21 Fe 6.4'' 5g 128gb 6gb Preto Samsung,2.573,4.499,null,9,"285,89",sem juros,"","","","",""
461,Xiaomi Pocophone Poco M3 Pro 5G Dual SIM 64 GB power black 4 GB RAM,1.33,"",1542,"","","",Xiaomi Pocophone Poco M3 Pro 5G,Xiaomi Pocophone Poco M3 Pro 5G Dual SIM 64 GB power black,64,power black,4 GB RAM
462,Smartphone Samsung Galaxy A03s Tela 6.5 64 Gb 4 Gb Ram Azul,857.0,1.499,null,10,"85,70",sem juros,"","","","",""
463,Samsung Galaxy A13 Dual SIM 128 GB branco 4 GB RAM,1.099,1.599,2830,10,"109,90",sem juros,Samsung Galaxy A13,Samsung Galaxy A13 Dual SIM 128 GB branco,128,branco,4 GB RAM
464,Realme 9i Dual SIM 128 GB prism black 6 GB RAM,1.279,"",36,"","","",Realme 9i,Realme 9i Dual SIM 128 GB prism black,128,prism black,6 GB RAM
465,Samsung Galaxy S20 FE 5G Dual SIM 128 GB cloud lavender 6 GB RAM,2.399,3.999,1481,10,"239,90",sem juros,Samsung Galaxy S20 FE 5G,Samsung Galaxy S20 FE 5G Dual SIM 128 GB cloud lavender,128,cloud lavender,6 GB RAM
466,Samsung Galaxy M13 Dual SIM 128 GB cobre 4 GB RAM,1.3,"",1709,"","","",Samsung Galaxy M13,Samsung Galaxy M13 Dual SIM 128 GB cobre,128,cobre,4 GB RAM
467,Smartphone Note 11 - 128gb 4gb Ram Versão Global Nota Fiscal,1.247,"",null,"","","","","","","",""
468,Moto G52 Dual SIM 128 GB charcoal grey 4 GB RAM,1.219,1.465,1792,"","","",Moto G52,Moto G52 Dual SIM 128 GB charcoal grey,128,charcoal grey,4 GB RAM
469,Philco Hit P8 Dual SIM 32 GB dark blue 3 GB RAM,559.0,"",1130,"","","",Philco Hit P8,Philco Hit P8 Dual SIM 32 GB dark blue,32,dark blue,3 GB RAM
470,LG K61 Dual SIM 128 GB titânio 4 GB RAM,1.07,"",1122,"","","",LG K61,LG K61 Dual SIM 128 GB titânio,128,titânio,4 GB RAM
471,"Smartphone Galaxy A03 Core 32gb 2gb Tela 6,5  Verde Samsung",719.0,1.099,null,10,"71,92",sem juros,"","","","",""
472,Smartphone Motorola Moto E22 64gb Azul,1.084,1.299,null,10,"108,43",sem juros,"","","","",""
473,Smartphone Galaxy A23 5g 128gb 4gb Azul Samsung,1.799,2.299,null,9,"199,89",sem juros,"","","","",""
474,Xiaomi Pocophone Poco M4 Pro Dual SIM 128 GB cool blue 6 GB RAM,1.482,"",789,"","","",Xiaomi Pocophone Poco M4 Pro,Xiaomi Pocophone Poco M4 Pro Dual SIM 128 GB cool blue,128,cool blue,6 GB RAM
475,Smartphone Galaxy A13 6.6'' 128gb 4gb Ram Azul Samsung,1.099,1.599,null,10,"109,90",sem juros,"","","","",""
476,Positivo P26 Dual SIM 32 MB preto 32 MB RAM,87.0,"",750,"","","",Positivo P26,"","","",""
477,Moto E32 Dual SIM 64 GB rosa 4 GB RAM,839.0,1.045,1559,"","","",Moto E32,Moto E32 Dual SIM 64 GB rosa,64,rosa,4 GB RAM
478,Smartphone Realme 9 Snapdragon 680 Branco 108mp 128gb 8gb,1.559,"",null,"","","","","","","",""
479,Samsung Galaxy Note20 5G Dual SIM 256 GB cinza-místico 8 GB RAM,3.199,"",275,10,"319,90",sem juros,Samsung Galaxy Note20 5G,Samsung Galaxy Note20 5G Dual SIM 256 GB cinza-místico,256,cinza-místico,8 GB RAM
480,Xiaomi Redmi Note 11 (Snapdragon) Dual SIM 128 GB graphite gray 6 GB RAM,1.349,"",3146,"","","",Xiaomi Redmi Note 11 (Snapdragon),Xiaomi Redmi Note 11 (Snapdragon) Dual SIM 128 GB graphite gray,128,graphite gray,6 GB RAM
481,Smartphone Motorola Moto G42 128gb 4gb Ram Rosê,1.999,"",null,10,"199,90",sem juros,"","","","",""
482,Smartphone Note 11 -128gb 4gb Ram Azul Claro +fone De Brinde,1.499,"",null,10,"149,90",sem juros,"","","","",""
483,Celular Nokia 105 Dual Chip + Rádio Fm + Lanterna - Nk093,149.0,"",null,4,"37,25",sem juros,Celular Nokia 105,"","","",""
484,Smartphone Galaxy A13 6.6'' 128gb 4gb Ram Branco Samsung,1.099,1.599,null,10,"109,90",sem juros,"","","","",""
485,Smartphone Samsung Galaxy A03s Dual 6.5 64gb 4gb Ram Preto,899.0,1.427,null,10,"89,90",sem juros,Smartphone Samsung Galaxy A03s,"","","",""
486,"Smartphone Motorola Moto G32 128gb 4gb Ram 6,5 - Preto",1.039,1.301,null,"","","","","","","",""
487,Moto G22 Dual SIM 128 GB cosmic black 4 GB RAM,1.02,"",2876,"","","",Moto G22,Moto G22 Dual SIM 128 GB cosmic black,128,cosmic black,4 GB RAM
488,Philco Hit PCS01 Dual SIM 64 GB preto 4 GB RAM,1.1,"",118,10,"",sem juros,Philco Hit PCS01,Philco Hit PCS01 Dual SIM 64 GB preto,64,preto,4 GB RAM
489,Xiaomi Mi 9T Dual SIM 64 GB preto-carvão 6 GB RAM,2.929,"",2987,10,"292,90",sem juros,Xiaomi Mi 9T,Xiaomi Mi 9T Dual SIM 64 GB preto-carvão,64,preto-carvão,6 GB RAM
490,Celular Smartphone Philco Hit P8 32gb 3gb Ram Dark Blue 6'',559.0,"",null,"","","","","","","",""
491,Samsung Galaxy S22+ (Snapdragon) Dual SIM 128 GB white 8 GB RAM,4.699,"",124,10,"",sem juros,Samsung Galaxy S22+ (Snapdragon),Samsung Galaxy S22+ (Snapdragon) Dual SIM 128 GB white,128,white,8 GB RAM
492,Samsung Galaxy A04e Dual SIM 64 GB black 3 GB RAM,790.0,1.550,6,"","","",Samsung Galaxy A04e,Samsung Galaxy A04e Dual SIM 64 GB black,64,black,3 GB RAM
493,Motorola Edge 20 Lite Dual SIM 128 GB grafite 6 GB RAM,2.624,"",198,"","","",Motorola Edge 20 Lite,Motorola Edge 20 Lite Dual SIM 128 GB grafite,128,grafite,6 GB RAM
494,CAT S52 Dual SIM 64 GB preto 4 GB RAM,2.985,"",36,"","","",CAT S52,CAT S52 Dual SIM 64 GB preto,64,preto,4 GB RAM
495,Celular Smartphone Tcl 201 5'' 32gb 1gb Dual Quad Core Preto,359.0,"",null,"","","",Celular Smartphone Tcl 201 5'' 32gb 1gb,"","","",""
496,Smartphone Motorola Moto E32 Dual Sim 6.5 64gb 4gb Ram Rose,899.0,1.665,null,10,"89,90",sem juros,Smartphone Motorola Moto E32,"","","",""
497,LG K52 (13 Mpx) Dual SIM 64 GB green 3 GB RAM,987.0,"",2301,"","","",LG K52 (13 Mpx),LG K52 (13 Mpx) Dual SIM 64 GB green,64,green,3 GB RAM
498,Samsung Galaxy A23 128gb 4gb Ram Branco,1.249,"",917,10,"124,90",sem juros,"","","","",""
499,LG K41S 32 GB preto 3 GB RAM,889.0,"",22,10,"88,90",sem juros,"",LG K41S 32 GB preto,32,preto,3 GB RAM
500,"Smartphone Motorola Moto G32 128gb 4gb Ram 6,5 - Vermelho",1.099,1.368,null,10,"109,90",sem juros,"","","","",""
501,Samsung Galaxy A03 Core Dual SIM 32 GB black 2 GB RAM,679.0,1.099,4614,10,"67,90",sem juros,Samsung Galaxy A03 Core,Samsung Galaxy A03 Core Dual SIM 32 GB black,32,black,2 GB RAM
502,"Smartphone Motorola Moto G32 128gb 4gb Ram 6,5 - Rose",1.099,1.368,null,10,"109,90",sem juros,"","","","",""
503,Moto G82 5G Dual SIM 128 GB branco 6 GB RAM,1.899,2.999,234,10,"189,90",sem juros,Moto G82 5G,Moto G82 5G Dual SIM 128 GB branco,128,branco,6 GB RAM
504,Samsung Galaxy A03s Dual SIM 64 GB preto 4 GB RAM,809.0,"988,09",4247,"","","",Samsung Galaxy A03s,Samsung Galaxy A03s Dual SIM 64 GB preto,64,preto,4 GB RAM
505,"Smartphone Galaxy A03 Core 32gb 2gb Tela 6,5   Preto Samsung",679.0,1.099,null,10,"67,90",sem juros,"","","","",""
506,"Smartphone Motorola Moto G32 128gb 4gb Ram 6,5 - Preto",1.099,1.368,null,10,"109,90",sem juros,"","","","",""
507,Moto G22 128 GB cosmic black 4 GB RAM,1.095,1.339,399,10,"109,50",sem juros,"",Moto G22 128 GB cosmic black,128,cosmic black,4 GB RAM
508,"Smartphone Edge 30 Tela 6,5'' 256gb 8gb Ram Grafite Motorola",2.733,3.999,null,10,"273,32",sem juros,"","","","",""
509,Soyes Xs13 Mini Smartphone 3g Android 6.0 Dual Sim,256.0,"",null,8,"32,03",sem juros,Soyes Xs13 Mini Smartphone 3g Android 6.0,"","","",""
510,Smartphone Galaxy S21 Fe 6.4'' 5g 128gb 6gb Preto Samsung,2.573,4.499,null,9,"285,89",sem juros,"","","","",""
511,Xiaomi Pocophone Poco M3 Pro 5G Dual SIM 64 GB power black 4 GB RAM,1.33,"",1542,"","","",Xiaomi Pocophone Poco M3 Pro 5G,Xiaomi Pocophone Poco M3 Pro 5G Dual SIM 64 GB power black,64,power black,4 GB RAM
512,Smartphone Samsung Galaxy A03s Tela 6.5 64 Gb 4 Gb Ram Azul,857.0,1.499,null,10,"85,70",sem juros,"","","","",""
513,Samsung Galaxy A13 Dual SIM 128 GB branco 4 GB RAM,1.099,1.599,2830,10,"109,90",sem juros,Samsung Galaxy A13,Samsung Galaxy A13 Dual SIM 128 GB branco,128,branco,4 GB RAM
514,Realme 9i Dual SIM 128 GB prism black 6 GB RAM,1.279,"",36,"","","",Realme 9i,Realme 9i Dual SIM 128 GB prism black,128,prism black,6 GB RAM
515,Samsung Galaxy S20 FE 5G Dual SIM 128 GB cloud lavender 6 GB RAM,2.399,3.999,1481,10,"239,90",sem juros,Samsung Galaxy S20 FE 5G,Samsung Galaxy S20 FE 5G Dual SIM 128 GB cloud lavender,128,cloud lavender,6 GB RAM
516,Samsung Galaxy M13 Dual SIM 128 GB cobre 4 GB RAM,1.3,"",1709,"","","",Samsung Galaxy M13,Samsung Galaxy M13 Dual SIM 128 GB cobre,128,cobre,4 GB RAM
517,Smartphone Note 11 - 128gb 4gb Ram Versão Global Nota Fiscal,1.247,"",null,"","","","","","","",""
518,Moto G52 Dual SIM 128 GB charcoal grey 4 GB RAM,1.219,1.465,1792,"","","",Moto G52,Moto G52 Dual SIM 128 GB charcoal grey,128,charcoal grey,4 GB RAM
519,Philco Hit P8 Dual SIM 32 GB dark blue 3 GB RAM,559.0,"",1130,"","","",Philco Hit P8,Philco Hit P8 Dual SIM 32 GB dark blue,32,dark blue,3 GB RAM
520,LG K61 Dual SIM 128 GB titânio 4 GB RAM,1.07,"",1122,"","","",LG K61,LG K61 Dual SIM 128 GB titânio,128,titânio,4 GB RAM
521,"Smartphone Galaxy A03 Core 32gb 2gb Tela 6,5  Verde Samsung",719.0,1.099,null,10,"71,92",sem juros,"","","","",""
522,Smartphone Motorola Moto E22 64gb Azul,1.084,1.299,null,10,"108,43",sem juros,"","","","",""
523,Smartphone Galaxy A23 5g 128gb 4gb Azul Samsung,1.799,2.299,null,9,"199,89",sem juros,"","","","",""
524,Xiaomi Pocophone Poco M4 Pro Dual SIM 128 GB cool blue 6 GB RAM,1.482,"",789,"","","",Xiaomi Pocophone Poco M4 Pro,Xiaomi Pocophone Poco M4 Pro Dual SIM 128 GB cool blue,128,cool blue,6 GB RAM
525,Smartphone Galaxy A13 6.6'' 128gb 4gb Ram Azul Samsung,1.099,1.599,null,10,"109,90",sem juros,"","","","",""
526,Positivo P26 Dual SIM 32 MB preto 32 MB RAM,87.0,"",750,"","","",Positivo P26,"","","",""
527,Moto E32 Dual SIM 64 GB rosa 4 GB RAM,839.0,1.045,1559,"","","",Moto E32,Moto E32 Dual SIM 64 GB rosa,64,rosa,4 GB RAM
528,Smartphone Realme 9 Snapdragon 680 Branco 108mp 128gb 8gb,1.559,"",null,"","","","","","","",""
529,Samsung Galaxy Note20 5G Dual SIM 256 GB cinza-místico 8 GB RAM,3.199,"",275,10,"319,90",sem juros,Samsung Galaxy Note20 5G,Samsung Galaxy Note20 5G Dual SIM 256 GB cinza-místico,256,cinza-místico,8 GB RAM
530,Xiaomi Redmi Note 11 (Snapdragon) Dual SIM 128 GB graphite gray 6 GB RAM,1.349,"",3146,"","","",Xiaomi Redmi Note 11 (Snapdragon),Xiaomi Redmi Note 11 (Snapdragon) Dual SIM 128 GB graphite gray,128,graphite gray,6 GB RAM
531,Smartphone Motorola Moto G42 128gb 4gb Ram Rosê,1.999,"",null,10,"199,90",sem juros,"","","","",""
532,Smartphone Note 11 -128gb 4gb Ram Azul Claro +fone De Brinde,1.499,"",null,10,"149,90",sem juros,"","","","",""
533,Celular Nokia 105 Dual Chip + Rádio Fm + Lanterna - Nk093,149.0,"",null,4,"37,25",sem juros,Celular Nokia 105,"","","",""
534,Smartphone Galaxy A13 6.6'' 128gb 4gb Ram Branco Samsung,1.099,1.599,null,10,"109,90",sem juros,"","","","",""
535,Smartphone Samsung Galaxy A03s Dual 6.5 64gb 4gb Ram Preto,899.0,1.427,null,10,"89,90",sem juros,Smartphone Samsung Galaxy A03s,"","","",""
536,"Smartphone Motorola Moto G32 128gb 4gb Ram 6,5 - Preto",1.039,1.301,null,"","","","","","","",""
537,Moto G22 Dual SIM 128 GB cosmic black 4 GB RAM,1.02,"",2876,"","","",Moto G22,Moto G22 Dual SIM 128 GB cosmic black,128,cosmic black,4 GB RAM
538,Philco Hit PCS01 Dual SIM 64 GB preto 4 GB RAM,1.1,"",118,10,"",sem juros,Philco Hit PCS01,Philco Hit PCS01 Dual SIM 64 GB preto,64,preto,4 GB RAM
539,Xiaomi Mi 9T Dual SIM 64 GB preto-carvão 6 GB RAM,2.929,"",2987,10,"292,90",sem juros,Xiaomi Mi 9T,Xiaomi Mi 9T Dual SIM 64 GB preto-carvão,64,preto-carvão,6 GB RAM
540,Celular Smartphone Philco Hit P8 32gb 3gb Ram Dark Blue 6'',559.0,"",null,"","","","","","","",""
541,Samsung Galaxy S22+ (Snapdragon) Dual SIM 128 GB white 8 GB RAM,4.699,"",124,10,"",sem juros,Samsung Galaxy S22+ (Snapdragon),Samsung Galaxy S22+ (Snapdragon) Dual SIM 128 GB white,128,white,8 GB RAM
542,Samsung Galaxy A04e Dual SIM 64 GB black 3 GB RAM,790.0,1.550,6,"","","",Samsung Galaxy A04e,Samsung Galaxy A04e Dual SIM 64 GB black,64,black,3 GB RAM
543,Motorola Edge 20 Lite Dual SIM 128 GB grafite 6 GB RAM,2.624,"",198,"","","",Motorola Edge 20 Lite,Motorola Edge 20 Lite Dual SIM 128 GB grafite,128,grafite,6 GB RAM
544,CAT S52 Dual SIM 64 GB preto 4 GB RAM,2.985,"",36,"","","",CAT S52,CAT S52 Dual SIM 64 GB preto,64,preto,4 GB RAM
545,Celular Smartphone Tcl 201 5'' 32gb 1gb Dual Quad Core Preto,359.0,"",null,"","","",Celular Smartphone Tcl 201 5'' 32gb 1gb,"","","",""
546,Smartphone Motorola Moto E32 Dual Sim 6.5 64gb 4gb Ram Rose,899.0,1.665,null,10,"89,90",sem juros,Smartphone Motorola Moto E32,"","","",""
547,LG K52 (13 Mpx) Dual SIM 64 GB green 3 GB RAM,987.0,"",2301,"","","",LG K52 (13 Mpx),LG K52 (13 Mpx) Dual SIM 64 GB green,64,green,3 GB RAM
548,Samsung Galaxy A23 128gb 4gb Ram Branco,1.249,"",917,10,"124,90",sem juros,"","","","",""
549,LG K41S 32 GB preto 3 GB RAM,889.0,"",22,10,"88,90",sem juros,"",LG K41S 32 GB preto,32,preto,3 GB RAM
550,"Smartphone Motorola Moto G32 128gb 4gb Ram 6,5 - Vermelho",1.099,1.368,null,10,"109,90",sem juros,"","","","",""
